job_title,job_location,job_department,job_url,first_seen,base_salary,job_type,job_level,job_apply_end_date,last_seen,is_active,company,company_url,job_board,job_board_url
Accounting Internship,Jakarta,Finance And Accounting,https://dealls.com/role/accounting-internship-1,22/08/2024 07:11:18,N/A,internship,N/A,,2024-06-26T10:34:51.773Z,True,Vidio,N/A,Dealls,https://dealls.com/
Marketing Coordinator EF Ciledug - Tangerang,Tangerang,Marketing And Social Media,https://dealls.com/role/marketing-coordinator-ef-ciledug-tangerang,22/08/2024 07:11:18,5500000,fullTime,N/A,,2024-08-13T08:01:20.126Z,True,EF English First (Swara Group),N/A,Dealls,https://dealls.com/
Tax Supervisor,Jakarta Barat,Finance And Accounting,https://dealls.com/role/tax-supervisor-6,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-04-24T14:30:32.098Z,True,Cimory Group,N/A,Dealls,https://dealls.com/
Warehouse Manager,Tangerang,Admin And Ops,https://dealls.com/role/warehouse-manager-2,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-21T06:44:51.536Z,True,Dragon Phoenix E-commerce,N/A,Dealls,https://dealls.com/
Sales Logistik/Forwarding (Semarang),Semarang,Business Dev And Sales,https://dealls.com/role/sales-logistikforwarding-semarang,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-06T03:34:46.837Z,True,muatmuat by PT AZlogistik,N/A,Dealls,https://dealls.com/
Medical Representative Supervisor (Solo - Yogyakarta),Yogyakarta,N/A,https://dealls.com/role/medical-representative-solo-yogyakarta,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-04-25T09:36:12.641Z,True,mGanik Group - PT Mganik Grup Mitra Indonesia,N/A,Dealls,https://dealls.com/
advertiser,Yogyakarta,Marketing And Social Media,https://dealls.com/role/advertiser-6,22/08/2024 07:11:18,2500000,fullTime,N/A,,2024-07-29T02:06:08.624Z,True,CV Herbalasia Indonesia,N/A,Dealls,https://dealls.com/
IT Manager,Batam,It And Engineering,https://dealls.com/role/it-manager-4,22/08/2024 07:11:18,9000000,fullTime,N/A,,2024-03-20T06:24:35.901Z,True,IndoCAD Pty Ltd,N/A,Dealls,https://dealls.com/
Sales And Marketing Specialist,Yogyakarta,Business Dev And Sales,https://dealls.com/role/sales-and-marketing-specialist-33,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-03T10:01:57.736Z,True,PT Champion Multikarya Pandhega,N/A,Dealls,https://dealls.com/
KOL & Partnership Manager / Marcom Manager,Tangerang,Marketing And Social Media,https://dealls.com/role/kol-and-partnership-manager-marcom,22/08/2024 07:11:18,7000000,fullTime,N/A,,2024-08-01T04:18:08.285Z,True,Oelek Selera Nusantara,N/A,Dealls,https://dealls.com/
System Security,Jakarta Selatan,It And Engineering,https://dealls.com/role/system-security,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-07-25T03:52:03.263Z,True,PT. Jatelindo Perkasa Abadi,N/A,Dealls,https://dealls.com/
R&D Engineer – FPGA and Firmware,Jakarta,It And Engineering,https://dealls.com/role/randd-engineer-fpga-and-firmware,22/08/2024 07:11:18,30000000,fullTime,N/A,,2024-07-23T10:41:11.538Z,True,PT. Karir Bangun Bersama (Careernbuilding),N/A,Dealls,https://dealls.com/
Accounting Manager,Pekalongan,Finance And Accounting,https://dealls.com/role/accounting-manager-13,22/08/2024 07:11:18,10000000,fullTime,N/A,,2024-07-27T13:27:16.284Z,True,PT. Karir Bangun Bersama (Careernbuilding),N/A,Dealls,https://dealls.com/
Senior Performance Marketing Specialist,Tangerang Selatan,Marketing And Social Media,https://dealls.com/role/senior-performance-marketing-specialist,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-07-29T09:31:54.725Z,True,Bitlabs Academy,N/A,Dealls,https://dealls.com/
Advertising Specialist,Surabaya,Marketing And Social Media,https://dealls.com/role/advertising-specialist-2,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-03T07:56:02.508Z,True,Ayam Bakar Pak D,N/A,Dealls,https://dealls.com/
Sales Representative,Tangerang,Business Dev And Sales,https://dealls.com/role/sales-representative-17,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-03-26T03:43:35.403Z,True,BPR Prima Kredit Mandiri,N/A,Dealls,https://dealls.com/
O2O (Online to Offline) Assistant Manager,Bandung,Admin And Ops,https://dealls.com/role/o2o-online-to-offline-assistant,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-06-05T05:02:07.496Z,True,Torch.id,N/A,Dealls,https://dealls.com/
Crossborder Executive (Amazon),Bandung,Marketing And Social Media,https://dealls.com/role/crossborder-executive-amazon,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-02-29T03:38:48.182Z,True,Torch.id,N/A,Dealls,https://dealls.com/
Sr. OD & Talent Management,Bandung,Recruiting And People,https://dealls.com/role/sr-od-and-talent-management,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-07-04T10:02:59.608Z,True,Torch.id,N/A,Dealls,https://dealls.com/
Sales Executive Paint (Cat) Parepare,Parepare,Business Dev And Sales,https://dealls.com/role/sales-executive-paint-cat-jawa,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-06-26T16:27:54.874Z,True,BRIK,N/A,Dealls,https://dealls.com/
Batching Plant Operator,Tangerang Regency,Admin And Ops,https://dealls.com/role/batching-plant-operator,22/08/2024 07:11:18,N/A,contract,N/A,,2024-05-28T04:41:09.959Z,True,BRIK,N/A,Dealls,https://dealls.com/
Sales Executive Jawa Barat Paint (Cat),Cirebon,Business Dev And Sales,https://dealls.com/role/sales-executive-jawa-barat-paint,22/08/2024 07:11:18,N/A,contract,N/A,,2024-06-24T09:05:02.996Z,True,BRIK,N/A,Dealls,https://dealls.com/
Sales Manager (Paint) - Jawa Tengah,Semarang Regency,Business Dev And Sales,https://dealls.com/role/sales-manager-paint-jawa-tengah,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-05-29T02:06:44.076Z,True,BRIK,N/A,Dealls,https://dealls.com/
Architect,Jakarta Pusat,Design And Creative,https://dealls.com/role/architect-1,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-15T06:15:05.340Z,True,PT. Fajar Gelora Inti,N/A,Dealls,https://dealls.com/
